CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn
1,Female,0,12,92.02,One year,UPI,1104.24,Yes
2,Male,0,62,79.36,One year,Net Banking,4920.32,No
3,Female,0,24,91.52,Month-to-month,UPI,2196.48,Yes
4,Female,0,2,43.01,One year,Credit card,86.02,Yes
5,Female,0,47,100.38,One year,Debit card,4717.86,No
6,Female,0,56,67.99,Month-to-month,UPI,3807.44,No
7,Male,0,16,81.03,Month-to-month,Credit card,1296.48,Yes
8,Male,0,34,29.22,Month-to-month,Debit card,993.48,Yes
9,Male,1,18,40.5,One year,Net Banking,729.0,Yes
10,Female,1,29,97.34,Month-to-month,Net Banking,2822.86,Yes
11,Male,0,54,42.39,Month-to-month,Debit card,2289.06,Yes
12,Male,0,51,29.25,Two year,Credit card,1491.75,No
13,Male,0,14,79.72,Month-to-month,Credit card,1116.08,Yes
14,Female,0,58,74.79,Two year,UPI,4337.82,No
15,Male,0,35,80.79,Month-to-month,Net Banking,2827.65,Yes
16,Female,0,9,81.83,Month-to-month,Net Banking,736.47,Yes
17,Female,0,37,70.02,Month-to-month,Net Banking,2590.74,Yes
18,Female,0,12,69.38,Month-to-month,Net Banking,832.56,No
19,Female,0,11,112.42,Month-to-month,Credit card,1236.62,Yes
20,Female,0,27,73.39,One year,Net Banking,1981.53,No
21,Male,0,43,81.73,One year,Debit card,3514.39,No
22,Female,0,50,46.7,Two year,Credit card,2335.0,No
23,Female,0,20,107.11,Month-to-month,Debit card,2142.2,Yes
24,Female,0,13,22.44,Month-to-month,Debit card,291.72,Yes
25,Male,0,47,75.72,Month-to-month,Credit card,3558.84,Yes
26,Male,1,8,58.39,Month-to-month,Debit card,467.12,Yes
27,Male,0,69,80.39,One year,Debit card,5546.91,No
28,Male,0,71,56.02,Month-to-month,UPI,3977.42,Yes
29,Female,0,64,91.77,Two year,Net Banking,5873.28,No
30,Female,0,44,22.03,One year,Debit card,969.32,No
31,Male,0,12,60.59,One year,UPI,727.08,No
32,Female,1,4,103.13,One year,UPI,412.52,Yes
33,Male,0,40,45.02,Month-to-month,Net Banking,1800.8,Yes
34,Male,1,19,25.28,One year,UPI,480.32,No
35,Male,1,54,69.65,Month-to-month,UPI,3761.1,No
36,Female,0,1,117.65,Month-to-month,Debit card,117.65,Yes
37,Male,0,13,26.42,Month-to-month,Net Banking,343.46,No
38,Male,0,50,27.01,Month-to-month,Net Banking,1350.5,No
39,Female,0,53,79.51,Month-to-month,Debit card,4214.03,No
40,Female,1,42,45.01,Month-to-month,Credit card,1890.42,No
41,Female,0,25,61.02,Month-to-month,UPI,1525.5,No
42,Female,0,44,103.05,One year,Debit card,4534.2,No
43,Female,0,61,39.88,Month-to-month,UPI,2432.68,No
44,Female,0,21,91.93,Month-to-month,Net Banking,1930.53,Yes
45,Male,0,51,70.45,Month-to-month,Net Banking,3592.95,Yes
46,Female,1,52,110.5,One year,UPI,5746.0,Yes
47,Female,0,63,117.3,Month-to-month,Net Banking,7389.9,Yes
48,Female,1,54,68.5,Month-to-month,Net Banking,3699.0,No
49,Male,0,10,78.46,Month-to-month,Credit card,784.6,Yes
50,Female,0,59,94.58,Two year,Net Banking,5580.22,No
51,Male,0,8,51.87,Month-to-month,Net Banking,414.96,Yes
52,Male,0,51,42.67,Month-to-month,UPI,2176.17,Yes
53,Male,0,5,116.47,Month-to-month,Debit card,582.35,Yes
54,Male,1,42,63.26,One year,Net Banking,2656.92,No
55,Female,0,12,20.16,Month-to-month,Net Banking,241.92,No
56,Female,0,24,103.77,Two year,Debit card,2490.48,No
57,Female,0,45,79.97,Month-to-month,Debit card,3598.65,Yes
58,Female,0,53,36.86,Month-to-month,Debit card,1953.58,Yes
59,Female,0,53,23.01,Month-to-month,UPI,1219.53,Yes
60,Female,0,17,49.15,One year,Net Banking,835.55,No
61,Male,1,65,112.79,Month-to-month,Net Banking,7331.35,Yes
62,Male,0,58,113.35,Month-to-month,Debit card,6574.3,Yes
63,Female,0,37,51.1,Two year,Credit card,1890.7,No
64,Female,0,42,103.59,Month-to-month,UPI,4350.78,Yes
65,Female,0,70,64.18,Month-to-month,Debit card,4492.6,No
66,Female,0,40,85.43,Month-to-month,Debit card,3417.2,Yes
67,Female,1,23,53.44,Two year,Net Banking,1229.12,No
68,Female,1,23,71.6,One year,Credit card,1646.8,No
69,Male,0,49,49.38,One year,UPI,2419.62,No
70,Male,0,7,26.11,Month-to-month,Credit card,182.77,Yes
